Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Defect,DEIPCNBS20-1052,1451175,[MI200]gmi_cpl rsp fifo add 6 depth for credit margin,MI200,shiyan,,,,,Implemented,bintaoli
Task,DEIPCNBS20-1051,1450458,MI200: Increase NBIF credits released to IOAGR,MI200,lcolin,,,,,Closed,lcolin
Defect,DEIPCNBS20-1050,1449905,mi200 credit ready size changed to 2,MI200,shiyan,,,,,Closed,shiyan
Defect,DEIPCNBS20-1041,1447680,[MI200] doorbell selfring cross dma test can't return all response,MI200,dongyu,,,,,Closed,dongyu
Defect,DEIPCNBS20-1039,1447439,[MI200] nbif_sdp_uvc_credit_checker mismatch with RTL in one-side reset test,MI200,diqi,,MI200_NBIO_SS,,,Implemented,diqi
Defect,DEIPCNBS20-1038,1446770,[mi200] BME off dma poison trans aer log issue,MI200,qingli1,,,,,Rejected,wangr1
Defect,DEIPCNBS20-1034,1444897,GEN5 changes issue about Enable Lower SKP OS Generation Vector and AP_COUNT,MI200,qingli1,07/Nov/19 12:00 AM,,,,Opened,belchen
Defect,DEIPCNBS20-1032,1444797,[Mi200] RAS gdc CDC sync fail about the PMGR_dedrpt_valid/id,MI200,wenyanxu,20/Dec/19 12:00 AM,,,,Opened,jianw
Defect,DEIPCNBS20-1030,1442996,ACS enhanced capability will implement or not in MI200,MI200,siluo,08/Nov/19 12:00 AM,,,,Deferred,belchen
Tracking,DEIPCNBS20-1028,1441896,Register reset solution in MI200 bigapu mode,MI200,buhengxu,,,,,Closed,smshen
Defect,DEIPCNBS20-1027,1441887,GPUIOV cap base address change,MI200,tingxie2,01/Nov/19 12:00 AM,,,,Closed,yangz
Defect,DEIPCNBS20-1026,1441742,[MI200] vc5 trans not routed to nbif from shub client MP1DRAM & MPIOVC7 in dgpu mode,MI200,suvasude,,MI200_NBIO_SS,,,Closed,suvasude
Task,DEIPCNBS20-1025,1441699,[MI200] Tried to access VF registers which is out of range in NBIO,MI200,suvasude,,MI200_NBIO_SS,,,Opened,suvasude
Defect,DEIPCNBS20-1023,1439621,[Mi200]S2A ord chk (hdp_ostd_wrcnt_idle_check assertion fail),MI200,shawhan,,,,,Closed,jianw
Tracking,DEIPCNBS20-1022,1439570,DEVICE_ID still not have define def value for downstream port,MI200,petwang,30/Nov/19 12:00 AM,,,,Opened,belchen
Enhancement,DEIPCNBS20-1020,1438047,nBIF host direction OT size change from 192 to 384 or higher,MI200,rezers,,ICT::CIP::CRB::Escalated,MI200_FCR_APPROVED,,Opened,llu1
Task,DEIPCNBS20-1019,1437829,[MI200]Program reg STRAP_ARI_EN_DEV0_F0 failed.,MI200,jyang4,,MI200_NBIO_RTL,,,Closed,jyang4
Tracking,DEIPCNBS20-1018,1437749,[mi200] BME_HDL_NONVIR_EN does not work for athub VC5,MI200,wangr1,,,,,Closed,wangr1
Defect,DEIPCNBS20-1016,1436706,"mi200 still exits smn vwire rtl code, need remove",MI200,tingxie2,31/Oct/19 12:00 AM,,,,Closed,lweng
Defect,DEIPCNBS20-1015,1436694,SDP_VWR_VCHG_TRIG write 0 will trigger sdp vwire reg_wr event,MI200,tingxie2,31/Oct/19 12:00 AM,,,,Closed,lweng
Tracking,DEIPCNBS20-1014,1436688,Default value of PAGE_REQ_STATUS.STOPPED should be 1b,MI200,siluo,23/Oct/19 12:00 AM,,,,Closed,belchen
Enhancement,DEIPCNBS20-1004,1431110,Increase the nBIF DMA OT size (ATHUB direction) from 512 to 768,MI200,rezers,,ICT::CIP::CRB::Escalated,MI200_FCR_DENIED,,Opened,llu1
Defect,DEIPCNBS20-1001,1429141,GPUIOV Register Structure,MI200,yangz,16/Oct/19 12:00 AM,,,,Closed,yangz
